start,end,orth,final_ipa,draft_ipa,Notes (Jack),eng,spn,notes,flags
4.411,7.144,meê nanî Guillermo Martínez López,mɛɛ̂ nanî gijermo mart̪ínɛs lópɛs,mɛɛ̂ nanî Guillɛrmo Mart̪ínɛz Lópɛz,,My name is Guillermo Martinez Lopez,Yo me llamo Guillermo Martinez Lopez,,"t->t̪ (tentative, verify); unmapped char: 'G'; unmapped char: 'L'; unmapped char: 'M'; unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'p'; unmapped char: 'r'; unmapped char: 'z'"
7.147,8.571,ñuù-yù kúu Yukúnanǐ,ɲuù jù kúu jukúnanǐ,ñuù yù kúu Yukúnanǐ,,I am from Yucunani,Soy de Yucunani,,unmapped char: 'Y'; unmapped char: 'y'
9.087,13.302,cha ná ntakanì xóó luu nixi sáchúùn tsi ñùñǔ ñàà,tʃa ná nt̪akanì ʃóó luu niʃi sátʃṹũ̀ tsi ɲũ̀ɲũ̌ ɲɲ ɲàà,tʃa ná nt̪akanì ʃóó luu niʃi sátʃúũ̀ tsi ñùñǔ ñàà,,I am going to tell a bit how I work with the beed,voy a contar un poquito sobre como trabajo con las abejas,,"t->t̪ (tentative, verify); unmapped char: 'l'"
14.761,15.866,kú'mî,kúmî,kúʔmî,,I have,Yo tengo,Cuando se habla rapido no se oye la glotal,unmapped char: 'm'
15.944000000000000,17.886,kuàâ ùtsì ùtsì-ni ñà,kwàâ ùtsì ùtsì ni ɲà,kuàâ ùtsì ùtsì ni ñà,,like ten ten things,como diez diez cosas,ña=de cosas,
17.9,19.97,kájà ñùñǔ luu kú'mî kuě kuà'ǎ-tí kú'mî teèn,kájà ɲũ̀ɲũ̌ luu kúmî kwɛ̌ kwà̰ǎ̰ t̪í kúmî t̪ɛ̃̀,kájà ñùñǔ luu kúʔmî kwɛ̌ kuàʔǎ t̪í kúʔmî t̪ɛɛ̃̀,double check the nasality on [ɲùɲǔ],little boxes of bees that I I don't have many but,caja de abejitas que tengo no tengo muchos pero,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'w'"
20.249,21.272,ná ntakanì xóó luu,ná nt̬akanì ʃóó luu,ná nt̪akanì ʃóó luu,,I am going to tell a bit,voy a contar poquito,,"t->t̪ (tentative, verify); unmapped char: 'l'"
21.287,22.205,nchíì kúu ñà sá'à,ndʒíì kúu ɲà sáʔà,ntʃíì kúu ñà sáʔà,,what I do,lo que hago,,
22.238,23.185,nchíì kúu ñà sá'à,ndʒíì kúu ɲà sáʔà,ntʃíì kúu ñà sáʔà,,what I do,lo que hago,,
23.208,24.232,tsi ñàà,tsi ɲàà,tsi ñàà,,with,con,,
24.374,25.485,tsi ñùñǔ luu yó'o,tsi ɲũ̀ɲũ̌ lu ʎó,tsi ñùñǔ luu yóʔo,,with these little bees,con estas abejitas,,unmapped char: 'l'; unmapped char: 'y'
25.624,26.909,kú'mî-tǐ ra,kúmî t̪ǐ ra,kúʔmî t̪ǐ ra,,I have them,las tengo,ti=de animal ra=?,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'"
27.106,28.043,ñàà,ɲàà,ñàà,,,,ña=de pensando,
28.054,29.351,tá kuìà tá kuìà ra,t̪á kwìà t̪á kwìà ra,t̪á kuìà t̪á kuìà ra,,year after year,de año en año,ra=interjecion,"t->t̪ (tentative, verify); unmapped char: 'r'"
29.368,30.56,tavâ ntǔxì,t̬avâ nt̬ǔʃì,t̪avâ nt̪ǔʃì,,I take honey,saco miel,,"t->t̪ (tentative, verify)"
30.656,31.22,cha,tʃaa,tʃa,,but,pero,,
31.226,32.255,ntǔxì luu-ka ra,nt̬ǔʃì luu k̬a ra,nt̪ǔʃì luu ka ra,,the honey,la miel,Ka=esa miel,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'r'"
32.255,35.386,sava-rá xíkò cha sava-rá kí ntòo tsátsí-kuê-rǎ,sava rá ʃíkò tʃa sava rá kí nt̪òo tsátsí wɛ̂ rǎ,sava rá ʃíkò tʃa sava rá kí nt̪òo tsátsí kuɛ̂ rǎ,,I sell half of it and the other half remains and we eat it,La mitad vendo y la otra mitad queda y la comemos,,"t->t̪ (tentative, verify); unmapped char: 'r'"
35.616,38.034,tsàà yachi níi kuìà-ni,tsàà jatʃi ní kuìà ni,tsàà yatʃi níi kuìà ni,,almost all year,Casi todo el año,,unmapped char: 'y'
38.054,42.13,st.. stákoò kuà'ǎ-rá tavà tsíǒ-rá níi kuìà-ni mímeé ntǔxì kúu ñàà,st  stákoò kuàʔǎ rá t̬avà tsíǒ rá ní kuìà ni mímɛɛ́ nt̬ǔʃì kú ɲàà,st̪.. st̪ákoò kuàʔǎ rá t̪avà tsíǒ rá níi kuìà ni mímɛɛ́ nt̪ǔʃì kúu ñàà,,"I leave a good quantity so that there is (honey) for the whole year, it is pure honey that",Dejo un buen cantidad para que haya todo el año es puro miel que,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'"
42.136,45.805,tsátsí-kuê kǒo ko... kǒo-kà iinkàâ ñàà,tsátsí wɛ̂ kǒo ko kǒ kà ĩŋkàâ ɲàà,tsátsí kuɛ̂ kǒo ko... kǒo kà iinkàâ ñàà,,"we eat, there's nothing else",comemos ya no hay otra cosa,,
45.838,49.083,tsátsí-vê ntǔxì-ni kúu-ñà chíkàà-vê nùǔ ñàà,tsátsí vɛ̂ ndǔʃì ni kúu ɲà tʃíkàà vɛ̂ nũ̌ ɲã́ã́,tsátsí vɛ̂ nt̪ǔʃì ni kúu ñà tʃíkàà vɛ̂ nùǔ ñàà,,we eat honey we only put honey on the ...,comemos miel solo miel echamos a la...,El hablante pronuncia ve al kue,"t->t̪ (tentative, verify)"
49.083,53.677,á iin ñà ko'o-vê á.... nchíì katsí-vê ra meé soo ntǔxì tsáchúun-vê ra,á ĩ́ĩ́ ɲà koʔo βɛ̂ á ndʒíì katsí βɛ̂ ra mɛɛ́ soo nt̪ǔʃì tsátʃṹũ wɛ̂ ra,á iĩ ñà koʔo vɛ̂ á.... ntʃíì katsí vɛ̂ ra mɛɛ́ so ndǔʃì tátʃúũ vɛ̂ ra,,if it is something we drink or something we eat we only use honey,si es algo que tomamos o si es algo que comemos solo usamos miel para,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'"
53.677,57.177,ñàà tá tsàà na'á ntákani-nà ñàà,ɲàà t̪á tsàà naʔá nt̬ákani nà ɲàà,ñàà t̪á tsàà naʔá nt̪ákani nà ñàà,,before they used to tell that,ah antes contaban que,,"t->t̪ (tentative, verify)"
57.198,58.72,tá ntsìtavǎ-nà ñàà,t̪á tzìt̪avǎ nà ɲàà,t̪á ntsìt̪avǎ nà ñàà,,when they would take,cuando solian sacar,,"t->t̪ (tentative, verify)"
58.72,61.755,ñùñǔ-ka ra meé soo tìntò'ǒ luu ntsìtsǎchúun-nà,ɲũ̀ɲũ̌ ɣa ra mɛɛ́ soo t̪ìnt̪òʔǒ luu ntsìtsǎtʃṹũ nà,ñùñǔ ka ra mɛɛ́ soo t̪ìnt̪òʔǒ luu ntsìtsǎtʃúũ nà,,"the bees, they would just use little jars",las abejas puro jarrito usaban,Las personas usaban jarritos,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'r'"
61.762,63.495,chíkàà-nà ñu'ù ra,tʃíkàà nà ɲũʔũ̀ ra,tʃíkàà nà ñuʔù ra,,make fire,echan fuego y,,unmapped char: 'r'
63.507,67.368,chíkàà-nà ñàà ñàà yuchí yútǔ,tʃíkàà nà ɲàà ɲàà jutʃí jút̪ǔ,tʃíkàà nà ñàà ñàà yutʃí yút̪ǔ,,put some sawdust,echan serrín,yuchí yútǔ - de yuchǐ yutǔ. Rise de yuchǐ se reduce a alto. Alto adjetival en yútǔ??,"t->t̪ (tentative, verify); unmapped char: 'y'"
67.41,70.118,á nchíì tâǎn-nà jara ñà-ka kúu-ñà,á nndʒíì t̪ã̂ã̌ nà jara ɲà ka kúu ɲà,á ntʃíì t̪âã̌ nà jara ñà ka kúu ñà,,or whatever they put and that is,o lo que le pongan y eso es,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'r'"
