start,end,orth,draft_ipa,eng,spn,notes,flags
4.411,7.144,meê nanî Guillermo Martínez López,mɛɛ̂ nanî Guillɛrmo Mart̪ínɛz Lópɛz,My name is Guillermo Martinez Lopez,Yo me llamo Guillermo Martinez Lopez,,"t->t̪ (tentative, verify); unmapped char: 'G'; unmapped char: 'L'; unmapped char: 'M'; unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'p'; unmapped char: 'r'; unmapped char: 'z'"
7.147,8.571,ñuù-yù kúu Yukúnanǐ,ñuù yù kúu Yukúnanǐ,I am from Yucunani,Soy de Yucunani,,unmapped char: 'Y'; unmapped char: 'y'
9.087,13.302,cha ná ntakanì xóó luu nixi sáchúùn tsi ñùñǔ ñàà,tʃa ná nt̪akanì ʃóó luu niʃi sátʃúũ̀ tsi ñùñǔ ñàà,I am going to tell a bit how I work with the beed,voy a contar un poquito sobre como trabajo con las abejas,,"t->t̪ (tentative, verify); unmapped char: 'l'"
14.761,15.866,kú'mî,kúʔmî,I have,Yo tengo,Cuando se habla rapido no se oye la glotal,unmapped char: 'm'
15.943999999999999,17.886,kuàâ ùtsì ùtsì-ni ñà,kuàâ ùtsì ùtsì ni ñà,like ten ten things,como diez diez cosas,ña=de cosas,
17.9,19.97,kájà ñùñǔ luu kú'mî kuě kuà'ǎ-tí kú'mî teèn,kájà ñùñǔ luu kúʔmî kwɛ̌ kuàʔǎ t̪í kúʔmî t̪ɛɛ̃̀,little boxes of bees that I I don't have many but,caja de abejitas que tengo no tengo muchos pero,,"t->t̪ (tentative, verify); unmapped char: 'j'; unmapped char: 'l'; unmapped char: 'm'; unmapped char: 'w'"
20.249,21.272,ná ntakanì xóó luu,ná nt̪akanì ʃóó luu,I am going to tell a bit,voy a contar poquito,,"t->t̪ (tentative, verify); unmapped char: 'l'"
21.287,22.205,nchíì kúu ñà sá'à,ntʃíì kúu ñà sáʔà,what I do,lo que hago,,
22.238,23.185,nchíì kúu ñà sá'à,ntʃíì kúu ñà sáʔà,what I do,lo que hago,,
23.208,24.232,tsi ñàà,tsi ñàà,with,con,,
24.374,25.485,tsi ñùñǔ luu yó'o,tsi ñùñǔ luu yóʔo,with these little bees,con estas abejitas,,unmapped char: 'l'; unmapped char: 'y'
25.624,26.909,kú'mî-tǐ ra,kúʔmî t̪ǐ ra,I have them,las tengo,ti=de animal ra=?,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'"
27.106,28.043,ñàà,ñàà,,,ña=de pensando,
28.054,29.351,tá kuìà tá kuìà ra,t̪á kuìà t̪á kuìà ra,year after year,de año en año,ra=interjecion,"t->t̪ (tentative, verify); unmapped char: 'r'"
29.368,30.56,tavâ ntǔxì,t̪avâ nt̪ǔʃì,I take honey,saco miel,,"t->t̪ (tentative, verify)"
30.656,31.22,cha,tʃa,but,pero,,
31.226,32.255,ntǔxì luu-ka ra,nt̪ǔʃì luu ka ra,the honey,la miel,Ka=esa miel,"t->t̪ (tentative, verify); unmapped char: 'l'; unmapped char: 'r'"
32.255,35.386,sava-rá xíkò cha sava-rá kí ntòo tsátsí-kuê-rǎ,sava rá ʃíkò tʃa sava rá kí nt̪òo tsátsí kuɛ̂ rǎ,I sell half of it and the other half remains and we eat it,La mitad vendo y la otra mitad queda y la comemos,,"t->t̪ (tentative, verify); unmapped char: 'r'"
35.616,38.034,tsàà yachi níi kuìà-ni,tsàà yatʃi níi kuìà ni,almost all year,Casi todo el año,,unmapped char: 'y'
38.054,42.13,st.. stákoò kuà'ǎ-rá tavà tsíǒ-rá níi kuìà-ni mímeé ntǔxì kúu ñàà,st̪.. st̪ákoò kuàʔǎ rá t̪avà tsíǒ rá níi kuìà ni mímɛɛ́ nt̪ǔʃì kúu ñàà,"I leave a good quantity so that there is (honey) for the whole year, it is pure honey that",Dejo un buen cantidad para que haya todo el año es puro miel que,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'"
42.136,45.805,tsátsí-kuê kǒo ko... kǒo-kà iinkàâ ñàà,tsátsí kuɛ̂ kǒo ko... kǒo kà iinkàâ ñàà,"we eat, there's nothing else",comemos ya no hay otra cosa,,
45.838,49.083,tsátsí-vê ntǔxì-ni kúu-ñà chíkàà-vê nùǔ ñàà,tsátsí vɛ̂ nt̪ǔʃì ni kúu ñà tʃíkàà vɛ̂ nùǔ ñàà,we eat honey we only put honey on the ...,comemos miel solo miel echamos a la...,El hablante pronuncia ve al kue,"t->t̪ (tentative, verify)"
49.083,53.677,á iin ñà ko'o-vê á.... nchíì katsí-vê ra meé soo ntǔxì tsáchúun-vê ra,á iĩ ñà koʔo vɛ̂ á.... ntʃíì katsí vɛ̂ ra mɛɛ́ soo nt̪ǔʃì tsátʃúũ vɛ̂ ra,if it is something we drink or something we eat we only use honey,si es algo que tomamos o si es algo que comemos solo usamos miel para,,"t->t̪ (tentative, verify); unmapped char: 'm'; unmapped char: 'r'"
53.677,57.177,ñàà tá tsàà na'á ntákani-nà ñàà,ñàà t̪á tsàà naʔá nt̪ákani nà ñàà,before they used to tell that,ah antes contaban que,,"t->t̪ (tentative, verify)"
